epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
154,5090.91,0.5937,0.32973,0.99266,0.99449,0.9838,0.99153,0.8883,0.52056,0.22493,0.84424,0.004951,0.004951,0.004951
155,5119.19,0.58415,0.32157,0.9877,0.9962,0.98272,0.99142,0.88853,0.52238,0.2249,0.84465,0.004918,0.004918,0.004918
156,5147.28,0.58032,0.32231,0.98121,0.99563,0.98345,0.99152,0.88728,0.5219,0.22464,0.84524,0.004885,0.004885,0.004885
157,5175.78,0.58561,0.32623,0.98536,0.9954,0.9838,0.99237,0.8877,0.5196,0.22294,0.84431,0.004852,0.004852,0.004852
158,5204.38,0.58397,0.32086,0.99133,0.99671,0.98084,0.99194,0.89279,0.51861,0.22317,0.84407,0.004819,0.004819,0.004819
159,5233.07,0.58175,0.32169,0.98612,0.99493,0.98164,0.99142,0.88966,0.524,0.22422,0.84572,0.004786,0.004786,0.004786
160,5261.27,0.57044,0.31506,0.97879,0.99484,0.98272,0.99195,0.88878,0.51909,0.22328,0.84621,0.004753,0.004753,0.004753
161,5289.36,0.57725,0.31972,0.98195,0.99562,0.98265,0.99246,0.88912,0.51673,0.22469,0.84521,0.00472,0.00472,0.00472
162,5317.33,0.58438,0.32595,0.98527,0.9937,0.98272,0.99267,0.89128,0.51301,0.22176,0.84337,0.004687,0.004687,0.004687
163,5345.68,0.57784,0.31357,0.98271,0.99562,0.98262,0.99107,0.89055,0.51165,0.22008,0.84219,0.004654,0.004654,0.004654
164,5375.61,0.58644,0.32311,0.98752,0.99498,0.98164,0.99146,0.8891,0.51008,0.21908,0.84188,0.004621,0.004621,0.004621
165,5404.34,0.58249,0.321,0.97928,0.99454,0.98267,0.99143,0.89057,0.51253,0.21799,0.8415,0.004588,0.004588,0.004588
166,5432.85,0.57237,0.31466,0.98145,0.99346,0.98375,0.9916,0.89152,0.51274,0.21877,0.842,0.004555,0.004555,0.004555
167,5461.42,0.57549,0.31299,0.98125,0.99601,0.98164,0.99161,0.89188,0.51226,0.21949,0.84307,0.004522,0.004522,0.004522
168,5489.72,0.57006,0.31396,0.98286,0.99505,0.98164,0.99207,0.89172,0.5104,0.22005,0.84342,0.004489,0.004489,0.004489
169,5518.09,0.57612,0.31544,0.98224,0.99562,0.98204,0.99222,0.89178,0.51363,0.21866,0.84288,0.004456,0.004456,0.004456
170,5546.76,0.58314,0.31571,0.98169,0.99563,0.98346,0.99058,0.89108,0.51067,0.21875,0.84249,0.004423,0.004423,0.004423
171,5575.56,0.57136,0.31279,0.97214,0.99438,0.98272,0.9914,0.89339,0.51013,0.22073,0.84168,0.00439,0.00439,0.00439
172,5604.27,0.56607,0.31346,0.97395,0.9932,0.98272,0.99108,0.89002,0.50939,0.22068,0.84207,0.004357,0.004357,0.004357
173,5633.13,0.56171,0.31141,0.97594,0.99423,0.98272,0.98985,0.891,0.50826,0.22038,0.84162,0.004324,0.004324,0.004324
174,5661.34,0.56153,0.30782,0.97776,0.99345,0.98295,0.99086,0.89083,0.50845,0.21858,0.84224,0.004291,0.004291,0.004291
175,5690.32,0.56381,0.31705,0.97898,0.99435,0.9838,0.99008,0.8932,0.50472,0.21653,0.84153,0.004258,0.004258,0.004258
176,5719.48,0.56348,0.31054,0.97764,0.99397,0.9838,0.99012,0.89201,0.50452,0.21562,0.84187,0.004225,0.004225,0.004225
177,5748.61,0.56126,0.30958,0.98239,0.99529,0.9838,0.99067,0.89092,0.51033,0.21656,0.84312,0.004192,0.004192,0.004192
178,5776.94,0.56578,0.3121,0.97852,0.99541,0.9838,0.99078,0.89072,0.50982,0.21736,0.84259,0.004159,0.004159,0.004159
179,5805.5,0.55955,0.31041,0.97652,0.99538,0.9838,0.99098,0.89055,0.5109,0.21742,0.8421,0.004126,0.004126,0.004126
180,5834.17,0.56268,0.31312,0.97869,0.99527,0.9838,0.99197,0.8893,0.50956,0.21742,0.842,0.004093,0.004093,0.004093
181,5862.95,0.56483,0.30955,0.97894,0.99496,0.9838,0.98818,0.88991,0.50803,0.21688,0.8414,0.00406,0.00406,0.00406
182,5891.76,0.55763,0.30477,0.9741,0.99522,0.98272,0.98847,0.88994,0.50691,0.21757,0.84112,0.004027,0.004027,0.004027
183,5921.65,0.55774,0.30931,0.96906,0.99454,0.98354,0.9885,0.88997,0.50742,0.21852,0.84095,0.003994,0.003994,0.003994
184,5950.71,0.56522,0.31297,0.97807,0.99429,0.9838,0.9891,0.89182,0.50692,0.21754,0.84117,0.003961,0.003961,0.003961
185,5979.33,0.55515,0.30661,0.98182,0.99444,0.9838,0.98889,0.89139,0.50617,0.21857,0.84018,0.003928,0.003928,0.003928
186,6007.74,0.55427,0.30803,0.97266,0.99407,0.98272,0.99194,0.89347,0.50353,0.21781,0.83899,0.003895,0.003895,0.003895
187,6036.24,0.55143,0.30025,0.97235,0.99345,0.98293,0.9895,0.89191,0.50524,0.2172,0.83985,0.003862,0.003862,0.003862
188,6065.59,0.55472,0.30413,0.97298,0.99377,0.98272,0.98958,0.88964,0.50625,0.21521,0.83975,0.003829,0.003829,0.003829
189,6095.42,0.55151,0.30664,0.97331,0.99563,0.98344,0.99059,0.89151,0.50601,0.21504,0.83987,0.003796,0.003796,0.003796
190,6124.68,0.5518,0.30405,0.97604,0.99563,0.98352,0.99181,0.89118,0.50556,0.21394,0.84009,0.003763,0.003763,0.003763
