epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
25,1456.32,0.65597,0.34748,0.87487,0.98567,0.99293,0.99353,0.83864,0.60345,0.24174,0.86549,0.009208,0.009208,0.009208
26,1517.24,0.65722,0.3478,0.87688,0.97979,0.98608,0.99289,0.8383,0.60088,0.24096,0.86364,0.009175,0.009175,0.009175
27,1576.19,0.65288,0.34173,0.87365,0.98935,0.9898,0.99296,0.84059,0.60067,0.23812,0.86391,0.009142,0.009142,0.009142
28,1636.72,0.6532,0.34165,0.87147,0.98366,0.99536,0.99382,0.84377,0.59668,0.23631,0.86281,0.009109,0.009109,0.009109
29,1692.83,0.64572,0.33651,0.87212,0.97444,0.99051,0.99387,0.84258,0.59777,0.23664,0.86345,0.009076,0.009076,0.009076
30,1750.49,0.64835,0.33656,0.87166,0.9873,0.99364,0.9943,0.84592,0.5938,0.23385,0.86156,0.009043,0.009043,0.009043
31,1809.46,0.64708,0.33506,0.87341,0.98904,0.99272,0.99384,0.84536,0.59706,0.23358,0.86156,0.00901,0.00901,0.00901
32,1870.96,0.64431,0.33328,0.87191,0.98959,0.99087,0.99369,0.84692,0.59362,0.23549,0.86097,0.008977,0.008977,0.008977
33,1928.29,0.63786,0.3281,0.86959,0.99086,0.99105,0.99379,0.84848,0.59298,0.23182,0.8619,0.008944,0.008944,0.008944
34,1988.21,0.64213,0.32818,0.87125,0.98641,0.9924,0.99344,0.84608,0.5907,0.23143,0.85988,0.008911,0.008911,0.008911
35,2045.5,0.64126,0.32798,0.87114,0.99016,0.99141,0.99405,0.8475,0.58901,0.22973,0.85981,0.008878,0.008878,0.008878
36,2102.67,0.63544,0.32749,0.86844,0.99198,0.98981,0.99384,0.84914,0.58921,0.22926,0.86105,0.008845,0.008845,0.008845
37,2158.92,0.63788,0.32692,0.86919,0.98974,0.99069,0.99393,0.8491,0.58833,0.22597,0.85944,0.008812,0.008812,0.008812
38,2219.45,0.63348,0.32341,0.86769,0.99074,0.99397,0.99415,0.85019,0.58609,0.22685,0.85891,0.008779,0.008779,0.008779
39,2270.77,0.63203,0.32389,0.86981,0.99198,0.99291,0.99381,0.84969,0.58407,0.22579,0.85899,0.008746,0.008746,0.008746
40,2321.44,0.63327,0.32368,0.87019,0.9899,0.99298,0.99371,0.85228,0.58541,0.22533,0.85912,0.008713,0.008713,0.008713
41,2371.48,0.62996,0.31957,0.86819,0.99182,0.99169,0.99378,0.84976,0.58601,0.22434,0.86018,0.00868,0.00868,0.00868
42,2420.24,0.62451,0.31554,0.8652,0.99088,0.98989,0.99356,0.85021,0.58112,0.22353,0.85822,0.008647,0.008647,0.008647
